iter	Passed	Remaining
0	14	42953
1	25	37680
2	35	35475
3	44	33326
4	52	31621
5	61	30460
6	68	29364
7	77	28835
8	82	27539
9	89	26620
10	96	26343
11	104	26024
12	111	25701
13	119	25493
14	127	25318
15	134	25151
16	142	25029
17	150	24963
18	159	24975
19	167	24885
20	174	24784
21	182	24678
22	189	24564
23	197	24481
24	204	24374
25	212	24289
26	219	24207
27	227	24136
28	234	24057
29	243	24069
30	250	24004
31	258	23960
32	266	23922
33	273	23858
34	281	23869
35	289	23798
36	296	23760
37	304	23718
38	311	23652
39	318	23593
40	326	23560
41	333	23518
42	342	23520
43	349	23498
44	357	23493
45	365	23496
46	374	23509
47	381	23477
48	389	23471
49	398	23497
50	406	23500
51	415	23530
52	422	23485
53	429	23457
54	437	23440
55	445	23429
56	453	23408
57	461	23385
58	468	23372
59	476	23348
60	483	23318
61	491	23301
62	499	23277
63	507	23264
64	514	23238
65	522	23235
66	530	23204
67	537	23179
68	545	23167
69	554	23195
70	561	23154
71	568	23129
72	575	23091
73	584	23092
74	591	23068
75	598	23042
76	606	23017
77	613	22987
78	621	22970
79	629	22966
80	636	22941
81	643	22915
82	652	22920
83	659	22902
84	670	23010
85	683	23157
86	692	23176
87	700	23178
88	707	23154
89	715	23137
90	723	23119
91	730	23105
92	738	23095
93	746	23074
94	753	23052
95	761	23026
96	768	23014
97	777	23009
98	784	22989
99	792	22979
100	799	22950
101	806	22924
102	814	22895
103	822	22892
104	830	22886
105	837	22867
106	845	22862
107	853	22848
108	860	22829
109	868	22819
110	876	22809
111	883	22794
112	891	22786
113	900	22795
114	908	22793
115	916	22778
116	923	22753
117	931	22740
118	939	22738
119	947	22728
120	956	22760
121	964	22753
122	972	22747
123	980	22739
124	987	22719
125	995	22707
126	1003	22710
127	1012	22724
128	1021	22724
129	1029	22736
130	1038	22736
131	1046	22727
132	1054	22728
133	1062	22732
134	1071	22729
135	1079	22737
136	1087	22728
137	1096	22736
138	1104	22727
139	1112	22725
140	1120	22718
141	1128	22712
142	1137	22716
143	1145	22722
144	1153	22716
145	1161	22697
146	1169	22688
147	1176	22673
148	1184	22665
149	1192	22660
150	1200	22658
151	1208	22649
152	1216	22636
153	1225	22640
154	1239	22758
155	1258	22938
156	1271	23033
157	1286	23142
158	1295	23152
159	1304	23153
160	1312	23149
161	1321	23158
162	1331	23170
163	1340	23186
164	1350	23203
165	1358	23193
166	1367	23204
167	1376	23211
168	1384	23200
169	1393	23205
170	1402	23209
171	1411	23206
172	1420	23206
173	1428	23205
174	1437	23209
175	1446	23204
176	1453	23186
177	1461	23170
178	1470	23176
179	1480	23194
180	1490	23206
181	1498	23209
182	1509	23237
183	1518	23244
184	1528	23253
185	1538	23275
186	1548	23297
187	1558	23308
188	1567	23318
189	1576	23312
190	1585	23312
191	1593	23307
192	1602	23312
193	1612	23316
194	1621	23328
195	1631	23335
196	1640	23338
197	1650	23358
198	1659	23353
199	1667	23346
200	1676	23351
201	1686	23356
202	1695	23357
203	1704	23361
204	1713	23365
205	1722	23362
206	1731	23367
207	1740	23366
208	1749	23364
209	1758	23368
210	1767	23367
211	1776	23366
212	1786	23369
213	1796	23383
214	1805	23390
215	1814	23391
216	1823	23383
217	1832	23380
218	1840	23375
219	1849	23372
220	1858	23367
221	1868	23383
222	1877	23379
223	1887	23388
224	1896	23389
225	1905	23393
226	1915	23401
227	1926	23423
228	1936	23426
229	1944	23421
230	1953	23415
231	1961	23407
232	1971	23406
233	1979	23399
234	1988	23398
235	1996	23384
236	2004	23372
237	2013	23370
238	2021	23353
239	2029	23340
240	2038	23332
241	2046	23328
242	2054	23314
243	2062	23300
244	2070	23282
245	2079	23281
246	2087	23265
247	2095	23252
248	2103	23239
249	2112	23237
250	2120	23225
251	2129	23217
252	2137	23211
253	2145	23194
254	2153	23179
255	2160	23161
256	2168	23142
257	2175	23125
258	2182	23102
259	2190	23088
260	2198	23072
261	2206	23058
262	2214	23041
263	2221	23025
264	2229	23009
265	2237	22992
266	2245	22981
267	2252	22963
268	2259	22942
269	2267	22924
270	2274	22905
271	2281	22886
272	2289	22872
273	2296	22851
274	2304	22838
275	2313	22832
276	2320	22813
277	2328	22797
278	2336	22782
279	2343	22768
280	2351	22753
281	2359	22739
282	2366	22723
283	2374	22710
284	2382	22697
285	2389	22676
286	2397	22665
287	2405	22647
288	2413	22644
289	2422	22634
290	2429	22617
291	2437	22604
292	2444	22587
293	2452	22570
294	2459	22551
295	2466	22535
296	2474	22524
297	2482	22511
298	2490	22496
299	2497	22479
300	2505	22464
301	2512	22449
302	2521	22441
303	2529	22433
304	2537	22420
305	2545	22409
306	2552	22394
307	2560	22377
308	2568	22367
309	2575	22351
310	2584	22343
311	2591	22328
312	2599	22317
313	2607	22308
314	2616	22303
315	2623	22286
316	2631	22274
317	2639	22260
318	2646	22245
319	2654	22231
320	2662	22217
321	2670	22206
322	2678	22196
323	2685	22180
324	2693	22170
325	2700	22152
326	2708	22137
327	2716	22127
328	2724	22114
329	2731	22101
330	2739	22086
331	2746	22074
332	2755	22067
333	2762	22054
334	2771	22044
335	2778	22033
336	2786	22018
337	2793	22003
338	2801	21989
339	2809	21979
340	2817	21966
341	2825	21956
342	2833	21948
343	2841	21939
344	2849	21931
345	2858	21926
346	2867	21922
347	2875	21914
348	2884	21908
349	2892	21902
350	2901	21896
351	2909	21887
352	2917	21875
353	2926	21876
354	2935	21869
355	2943	21861
356	2952	21857
357	2960	21850
358	2969	21843
359	2977	21835
360	2986	21830
361	2995	21827
362	3003	21820
363	3012	21815
364	3021	21811
365	3030	21806
366	3037	21794
367	3046	21785
368	3054	21776
369	3062	21767
370	3070	21759
371	3079	21754
372	3088	21750
373	3097	21746
374	3106	21744
375	3114	21738
376	3124	21735
377	3132	21730
378	3141	21722
379	3149	21715
380	3157	21706
381	3166	21701
382	3175	21697
383	3184	21691
384	3192	21686
385	3201	21678
386	3209	21667
387	3217	21658
388	3225	21650
389	3234	21645
390	3242	21636
391	3250	21623
392	3259	21619
393	3267	21612
394	3277	21612
395	3285	21604
396	3293	21595
397	3302	21591
398	3312	21593
399	3321	21590
400	3330	21584
401	3338	21577
402	3352	21606
403	3361	21599
404	3369	21589
405	3377	21580
406	3385	21571
407	3394	21566
408	3404	21566
409	3413	21564
410	3422	21558
411	3430	21549
412	3439	21542
413	3448	21539
414	3456	21530
415	3466	21530
416	3474	21523
417	3482	21510
418	3490	21501
419	3498	21490
420	3507	21487
421	3516	21480
422	3524	21474
423	3532	21464
424	3541	21456
425	3551	21456
426	3559	21451
427	3567	21438
428	3576	21432
429	3586	21435
430	3594	21425
431	3602	21415
432	3611	21408
433	3618	21394
434	3626	21380
435	3633	21366
436	3640	21354
437	3648	21343
438	3656	21329
439	3663	21316
440	3670	21301
441	3678	21289
442	3686	21275
443	3693	21261
444	3700	21248
445	3708	21239
446	3716	21224
447	3725	21219
448	3732	21205
449	3740	21198
450	3748	21187
451	3757	21179
452	3765	21171
453	3773	21159
454	3780	21144
455	3787	21132
456	3795	21120
457	3802	21106
458	3810	21095
459	3818	21084
460	3826	21074
461	3833	21059
